,geoid,state,county,tract,latitude,longitude,msrDeviceNbr
0,17031836100,17,031,836100,41.794921,-87.625857,2002
1,17031400300,17,031,400300,41.7955,-87.6255,2003
2,17031301100,17,031,301100,41.8451,-87.695204,2004
3,17031840700,17,031,840700,41.8524,-87.6952,2005
4,17031840700,17,031,840700,41.8523,-87.6954,2006
5,17031700200,17,031,700200,41.7514,-87.713488,2008
6,17031230400,17,031,230400,41.91274,-87.722674,2009
7,17031230400,17,031,230400,41.912741,-87.722675,2010
8,53033004202,53,033,004202,47.6641,-122.28546,2011
9,17031836700,17,031,836700,41.8954,-87.7022,2012
10,17031823302,17,031,823302,41.670993,-87.732458,2013
11,17031823302,17,031,823302,41.670994,-87.732459,2014
12,17031230400,17,031,230400,41.912739,-87.722673,2015
13,17031700200,17,031,700200,41.7515,-87.713489,2016
14,17031700200,17,031,700200,41.7516,-87.71349,2017
15,53033004202,53,033,004202,47.6641,-122.28546,2037
16,53033004101,53,033,004101,47.65467,-122.28546,2038
17,17031301802,17,031,301802,41.8442,-87.7248,2042
18,17031843000,17,031,843000,41.866448,-87.710325,2043
19,17031090200,17,031,090200,41.997534,-87.807554,2046
20,17031570300,17,031,570300,41.8049,-87.7236,2047
21,17031360200,17,031,360200,41.824096,-87.607116,2048
22,17031031502,17,031,031502,41.961992,-87.649994,2049
23,17031251800,17,031,251800,41.8867,-87.7551,2050
24,17031842500,17,031,842500,41.78,-87.6168,2051
25,17031580700,17,031,580700,41.815867,-87.684764,2052
26,17031440202,17,031,440202,41.7438,-87.6052,2053
27,17031610300,17,031,610300,41.816041,-87.665311,2054
28,17031252101,17,031,252101,41.87288,-87.764879,2055
29,17031220702,17,031,220702,41.924611,-87.726561,2056
30,17031842500,17,031,842500,41.78,-87.6168,2057
31,17031260100,17,031,260100,41.8811,-87.7214,2058
32,17031252201,17,031,252201,41.880092,-87.754947,2059
33,17031130300,17,031,130300,41.9861,-87.7139,2060
34,17031833000,17,031,833000,41.881625,-87.66205,2062
35,17031063200,17,031,063200,41.94,-87.6402,2063
36,17031320102,17,031,320102,41.883142,-87.625628,2064
37,17031830700,17,031,830700,41.965146,-87.657484,2065
38,17031081800,17,031,081800,41.896633,-87.639691,2066
39,17031010300,17,031,010300,42.013052,-87.663438,2067
40,17031671400,17,031,671400,41.7793,-87.6741,2068
41,17031020601,17,031,020601,41.99772,-87.69975,2069
42,17031170100,17,031,170100,41.9592,-87.7868,2070
43,17031480400,17,031,480400,41.7333,-87.5851,2071
44,17031460800,17,031,460800,41.733871,-87.551448,2072
45,17031063200,17,031,063200,41.93892,-87.63806,2073
46,17031835200,17,031,835200,41.797916,-87.747366,2074
47,17031410500,17,031,410500,41.7985,-87.6062,2076
48,17031040100,17,031,040100,41.990623,-87.677257,2077
49,17031520200,17,031,520200,41.7108,-87.5354,2078
50,17031500300,17,031,500300,41.6889,-87.6107,2079
51,17031842500,17,031,842500,41.7799,-87.6248,2080
52,17031661000,17,031,661000,41.7609,-87.6827,2081
53,17031834000,17,031,834000,41.7218,-87.6287,2082
54,17031681000,17,031,681000,41.7795,-87.6472,2083
55,17031650302,17,031,650302,41.7785,-87.7214,2084
56,17031710200,17,031,710200,41.75234503170834,-87.65371972429654,2085
57,17031360200,17,031,360200,41.824096,-87.607116,2086
58,17031650500,17,031,650500,41.76428,-87.722565,2087
59,17031320400,17,031,320400,41.87836775,-87.62542392,2088
60,17031251900,17,031,251900,41.8803,-87.7647,2089
61,17031560800,17,031,560800,41.7924,-87.7818,2090
62,17031610300,17,031,610300,41.8231,-87.6753,2091
63,17031400800,17,031,400800,41.7838,-87.6164,2092
64,17031120100,17,031,120100,41.9924,-87.7654,2093
65,17031590700,17,031,590700,41.8267,-87.6655,2094
66,17031251700,17,031,251700,41.894893,-87.746056,2095
67,17031510200,17,031,510200,41.7136,-87.5602,2096
68,17031500100,17,031,500100,41.7132,-87.605,2097
69,17031060500,17,031,060500,41.954291,-87.662438,2098
70,17031300700,17,031,300700,41.84449318039236,-87.71455502567271,2099
71,17031590700,17,031,590700,41.823588,-87.665245,2100
72,17031252201,17,031,252201,41.880092,-87.754947,2101
73,17031500200,17,031,500200,41.692869,-87.609595,2102
74,17031700301,17,031,700301,41.7491,-87.7302,2103
75,17031842000,17,031,842000,41.838137,-87.626522,2104
76,17031400300,17,031,400300,41.78594895562553,-87.60616026597778,2105
77,17031831100,17,031,831100,41.946406,-87.717897,2106
78,17031844700,17,031,844700,41.854286108203816,-87.71498342854358,2107
79,17031161100,17,031,161100,41.9533,-87.7354,2108
80,17031750100,17,031,750100,41.692519,-87.642557,2110
81,17031300800,17,031,300800,41.8488,-87.7052,2111
82,17031612200,17,031,612200,41.8088,-87.6481,2112
83,17031842200,17,031,842200,41.903627,-87.643443,2113
84,17031282800,17,031,282800,41.866741,-87.685757,2115
85,17031330200,17,031,330200,41.861773,-87.630143,2116
86,17031062700,17,031,062700,41.939311,-87.668496,2117
87,17031843200,17,031,843200,41.852038,-87.666366,2118
88,17031841000,17,031,841000,41.847228,-87.617824,2119
89,17031460200,17,031,460200,41.7414,-87.5513,2120
90,17031030604,17,031,030604,41.985095,-87.655334,2121
91,17031241600,17,031,241600,41.907237,-87.66745,2122
92,17031661000,17,031,661000,41.7683,-87.6794,2123
93,17031711400,17,031,711400,41.7359,-87.6437,2124
94,17031580700,17,031,580700,41.81935577057992,-87.6846147423426,2125
95,53033004202,53,033,004202,47.6641,-122.28546,2126
96,17031640700,17,031,640700,41.7782,-87.7438,2127
